hole 1,hole 2,winrate
2c,2d,0.58286
2c,2h,0.582845
2c,2s,0.583705
2c,3c,0.29451
2c,3d,0.27499
2c,3h,0.2734
2c,3s,0.272825
2c,4c,0.31035
2c,4d,0.28693
2c,4h,0.288505
2c,4s,0.283435
2c,5c,0.325235
2c,5d,0.299845
2c,5h,0.30331
2c,5s,0.302615
2c,6c,0.330875
2c,6d,0.311985
2c,6h,0.31035
2c,6s,0.309905
2c,7c,0.34675
2c,7d,0.325395
2c,7h,0.326385
2c,7s,0.32691
2c,8c,0.37035
2c,8d,0.349945
2c,8h,0.353045
2c,8s,0.35109
2c,9c,0.399625
2c,9d,0.379025
2c,9h,0.37951
2c,9s,0.381335
2c,Tc,0.4329
2c,Td,0.41562
2c,Th,0.40978
2c,Ts,0.41204
2c,Jc,0.465145
2c,Jd,0.450655
2c,Jh,0.448085
2c,Js,0.45052
2c,Qc,0.50501
2c,Qd,0.487255
2c,Qh,0.490965
2c,Qs,0.489885
2c,Kc,0.54606
2c,Kd,0.531095
2c,Kh,0.531645
2c,Ks,0.53138
2c,Ac,0.598725
2c,Ad,0.58627
2c,Ah,0.58709
2c,As,0.588555
2d,2h,0.58508
2d,2s,0.58251
2d,3c,0.2712
2d,3d,0.296805
2d,3h,0.27333
2d,3s,0.274825
2d,4c,0.288815
2d,4d,0.309175
2d,4h,0.288665
2d,4s,0.287465
2d,5c,0.299525
2d,5d,0.32287
2d,5h,0.30183
2d,5s,0.30022
2d,6c,0.312245
2d,6d,0.33362
2d,6h,0.311085
2d,6s,0.31313
2d,7c,0.328935
2d,7d,0.344145
2d,7h,0.325165
2d,7s,0.326245
2d,8c,0.35293
2d,8d,0.37134
2d,8h,0.353605
2d,8s,0.352455
2d,9c,0.378735
2d,9d,0.39921
2d,9h,0.376865
2d,9s,0.380545
2d,Tc,0.41156
2d,Td,0.43237
2d,Th,0.41489
2d,Ts,0.413705
2d,Jc,0.45205
2d,Jd,0.46543
2d,Jh,0.449795
2d,Js,0.447105
2d,Qc,0.48748
2d,Qd,0.50626
2d,Qh,0.48813
2d,Qs,0.49002
2d,Kc,0.53086
2d,Kd,0.549715
2d,Kh,0.530515
2d,Ks,0.53348
2d,Ac,0.584635
2d,Ad,0.600365
2d,Ah,0.584085
2d,As,0.583085
2h,2s,0.582445
2h,3c,0.272895
2h,3d,0.274325
2h,3h,0.29774
2h,3s,0.27603
2h,4c,0.28396
2h,4d,0.28555
2h,4h,0.30666
2h,4s,0.28646
2h,5c,0.300805
2h,5d,0.29991
2h,5h,0.3247
2h,5s,0.29847
2h,6c,0.31221
2h,6d,0.309025
2h,6h,0.33438
2h,6s,0.310925
2h,7c,0.326035
2h,7d,0.325435
2h,7h,0.346335
2h,7s,0.32507
2h,8c,0.35294
2h,8d,0.35036
2h,8h,0.370745
2h,8s,0.35371
2h,9c,0.380425
2h,9d,0.383635
2h,9h,0.39982
2h,9s,0.38245
2h,Tc,0.40986
2h,Td,0.41127
2h,Th,0.431605
2h,Ts,0.41096
2h,Jc,0.44628
2h,Jd,0.44555
2h,Jh,0.463665
2h,Js,0.44609
2h,Qc,0.48761
2h,Qd,0.490835
2h,Qh,0.50622
2h,Qs,0.48792
2h,Kc,0.532885
2h,Kd,0.532455
2h,Kh,0.548475
2h,Ks,0.53018
2h,Ac,0.585875
2h,Ad,0.588015
2h,Ah,0.596125
2h,As,0.58524
2s,3c,0.27234
2s,3d,0.27394
2s,3h,0.27418
2s,3s,0.296075
2s,4c,0.28537
2s,4d,0.2875
2s,4h,0.28526
2s,4s,0.30606
2s,5c,0.302855
