rank 1,rank 2,suited,winrate
2,2,0,0.5832408333333333
2,3,1,0.2962825
2,3,0,0.27369
2,4,1,0.30806125
2,4,0,0.2864929166666667
2,5,1,0.32314624999999997
2,5,0,0.3008416666666667
2,6,1,0.33329875
2,6,0,0.31141416666666666
2,7,1,0.34591
2,7,0,0.32589416666666665
2,8,1,0.3708725
2,8,0,0.3522754166666667
2,9,1,0.39948875
2,9,0,0.38004750000000004
2,T,1,0.43246249999999997
2,T,0,0.4124254166666667
2,J,1,0.46528375
2,J,0,0.44871
2,Q,1,0.50595875
2,Q,0,0.4887858333333333
2,K,1,0.54845375
2,K,0,0.5318404166666667
2,A,1,0.59890875
2,A,0,0.5858316666666666
3,3,0,0.6119666666666667
3,4,1,0.32138625
3,4,0,0.29889166666666667
3,5,1,0.33583625
3,5,0,0.31476750000000003
3,6,1,0.34547375
3,6,0,0.3246558333333333
3,7,1,0.35864
3,7,0,0.33838125
3,8,1,0.3773875
3,8,0,0.35721375000000005
3,9,1,0.40529
3,9,0,0.3864404166666667
3,T,1,0.43754
3,T,0,0.41896666666666665
3,J,1,0.472045
3,J,0,0.4536541666666667
3,Q,1,0.51070875
3,Q,0,0.49425375
3,K,1,0.5531
3,K,0,0.5381729166666667
3,A,1,0.60545
3,A,0,0.5909079166666666
4,4,0,0.6416516666666666
4,5,1,0.35038375
4,5,0,0.33069125
4,6,1,0.36019375
4,6,0,0.3399945833333333
4,7,1,0.37414375
4,7,0,0.35391875
4,8,1,0.3925575
4,8,0,0.3719145833333333
4,9,1,0.41013499999999997
4,9,0,0.39408291666666667
4,T,1,0.44427875
4,T,0,0.4270475
4,J,1,0.47937874999999996
4,J,0,0.46393375
4,Q,1,0.51943625
4,Q,0,0.5022016666666667
4,K,1,0.559795
4,K,0,0.5467920833333334
4,A,1,0.6111625
4,A,0,0.5995766666666666
5,5,0,0.6694433333333333
5,6,1,0.37696
5,6,0,0.35707625
5,7,1,0.39065125
5,7,0,0.3708008333333333
5,8,1,0.4060475
5,8,0,0.38768208333333337
5,9,1,0.42872875
5,9,0,0.41031791666666667
5,T,1,0.4538975
5,T,0,0.4362633333333333
5,J,1,0.48970375
5,J,0,0.47307625000000003
5,Q,1,0.52683
5,Q,0,0.5136683333333333
5,K,1,0.57195125
5,K,0,0.5570720833333334
5,A,1,0.6220825
5,A,0,0.6097120833333333
6,6,0,0.6971275
6,7,1,0.40492249999999996
6,7,0,0.3867995833333333
6,8,1,0.42332125
6,8,0,0.40515875
6,9,1,0.44639625
6,9,0,0.4269604166666667
6,T,1,0.47040000000000004
6,T,0,0.45209916666666666
6,J,1,0.49932625
6,J,0,0.48276499999999994
6,Q,1,0.53939
6,Q,0,0.5235954166666666
6,K,1,0.58307625
6,K,0,0.5676429166666667
6,A,1,0.62711125
6,A,0,0.6149483333333333
7,7,0,0.7250225
7,8,1,0.4395225
7,8,0,0.42128625000000003
7,9,1,0.4599
7,9,0,0.4436758333333333
7,T,1,0.48548125
7,T,0,0.46834625
7,J,1,0.5146875
7,J,0,0.4987754166666667
7,Q,1,0.54731
7,Q,0,0.5327033333333333
7,K,1,0.5909875
7,K,0,0.5776933333333333
7,A,1,0.63725375
7,A,0,0.6252154166666667
8,8,0,0.7523741666666667
8,9,1,0.47527874999999997
8,9,0,0.45792625000000003
8,T,1,0.50110875
8,T,0,0.48475
8,J,1,0.53096
8,J,0,0.5143533333333333
8,Q,1,0.56387
8,Q,0,0.5489820833333333
8,K,1,0.6024875000000001
8,K,0,0.58767125
8,A,1,0.6478475
8,A,0,0.6365479166666667
9,9,0,0.7792183333333332
9,T,1,0.51441625
9,T,0,0.4992258333333333
9,J,1,0.5441975
9,J,0,0.5293308333333333
9,Q,1,0.57716125
9,Q,0,0.564365
9,K,1,0.6167050000000001
9,K,0,0.6034370833333333
9,A,1,0.6584525
9,A,0,0.6460508333333334
T,T,0,0.8064091666666666
T,J,1,0.56046375
T,J,0,0.5442529166666666
T,Q,1,0.59214
T,Q,0,0.5783866666666667
T,K,1,0.630085
T,K,0,0.61738625
T,A,1,0.6719062499999999
T,A,0,0.6616329166666667
J,J,0,0.8316266666666666
J,Q,1,0.6025024999999999
J,Q,0,0.5881775
J,K,1,0.63989875
J,K,0,0.6267233333333333
J,A,1,0.68268125
J,A,0,0.6709108333333332
Q,Q,0,0.8574141666666667
Q,K,1,0.6499275
Q,K,0,0.6377129166666666
Q,A,1,0.6910975
Q,A,0,0.6813170833333334
K,K,0,0.8839833333333335
K,A,1,0.70189625
K,A,0,0.6904750000000001
A,A,0,0.9101508333333334
